order_id,customer_id,order_date,product,category,quantity,price,discount_pct,shipping_cost,customer_country,payment_method,total_amount
1001,CUST-0238,2024-10-05,Water Bottle,Accessories,3,248.24,10,10.95,USA,Credit Card,670.25
1002,CUST-0275,2024-11-12,Water Bottle,Accessories,3,244.88,20,10.96,Germany,Bank Transfer,587.71
1003,CUST-0177,2024-05-13,Water Bottle,Accessories,1,210.66,0,13.35,Nepal,Debit Card,210.66
1004,CUST-0150,2024-09-25,Duffel Bag,Bags,5,160.37,5,10.13,Germany,Credit Card,761.76
1005,CUST-0282,2024-06-23,Fitness Tracker,Electronics,4,186.59,15,14.87,USA,PayPal,634.41
1006,CUST-0352,2024-07-27,Resistance Bands,Fitness Gear,3,172.27,0,8.91,Nepal,Debit Card,516.81
1007,CUST-0301,2024-03-19,Running Shoes,Footwear,5,125.86,20,1.04,Nepal,Bank Transfer,503.44
1008,CUST-0347,2024-04-22,Water Bottle,Accessories,2,126.16,5,8.51,Nepal,Credit Card,239.7
1009,CUST-0092,2024-10-09,Yoga Mat,Fitness Gear,5,129.72,20,7.71,USA,PayPal,518.88
1010,CUST-0038,2024-10-25,Yoga Mat,Fitness Gear,1,131.62,0,,Canada,PayPal,131.62
1011,CUST-0152,2024-02-22,Yoga Mat,Fitness Gear,3,55.99,0,,USA,Bank Transfer,167.97
1012,CUST-0153,2024-09-11,Wireless Earbuds,Electronics,5,74.6,0,,Germany,PayPal,373.0
1013,CUST-0211,2024-01-10,Water Bottle,Accessories,2,224.3,0,4.44,USA,Credit Card,448.6
1014,CUST-0034,2024-03-01,Yoga Mat,Fitness Gear,3,53.69,5,8.91,Australia,PayPal,153.02
1015,CUST-0010,2024-02-11,Fitness Tracker,Electronics,1,34.17,20,3.21,Germany,Bank Transfer,27.34
1016,CUST-0191,2024-01-22,Backpack,Bags,5,205.79,20,4.63,UK,Bank Transfer,823.16
1017,CUST-0276,2024-05-18,Running Shoes,Footwear,3,145.99,10,13.29,Australia,Credit Card,394.17
1018,CUST-0105,2024-08-05,Backpack,Bags,2,187.94,10,0.74,India,Bank Transfer,338.29
1019,CUST-0397,2024-11-07,Running Shoes,Footwear,5,15.22,10,6.24,Australia,PayPal,68.49
1020,CUST-0279,2024-01-24,Backpack,Bags,1,193.6,0,12.06,Australia,Debit Card,193.6
1021,CUST-0089,2024-01-31,Wireless Earbuds,Electronics,2,198.74,20,4.93,Nepal,Credit Card,317.98
1022,CUST-0106,2024-01-31,Wireless Earbuds,Electronics,2,241.82,0,5.5,Canada,PayPal,483.64
1023,CUST-0382,2024-10-22,Water Bottle,Accessories,4,190.13,0,11.75,USA,Bank Transfer,760.52
1024,CUST-0270,2024-09-20,Resistance Bands,Fitness Gear,1,91.08,0,14.34,Nepal,PayPal,91.08
1025,CUST-0232,2024-07-31,Water Bottle,Accessories,1,29.67,20,1.24,Germany,Debit Card,23.74
1026,CUST-0155,2024-02-12,Yoga Mat,Fitness Gear,1,86.08,10,4.11,India,Bank Transfer,77.47
1027,CUST-0284,2024-10-20,Yoga Mat,Fitness Gear,5,92.12,20,12.92,India,Debit Card,368.48
1028,CUST-0315,2024-11-03,Yoga Mat,Fitness Gear,5,175.42,20,14.19,India,Debit Card,701.68
1029,CUST-0200,2024-01-08,Resistance Bands,Fitness Gear,1,246.84,10,3.78,Canada,Debit Card,222.16
1030,CUST-0230,2024-03-14,Fitness Tracker,Electronics,5,27.6,0,,Nepal,Credit Card,138.0
1031,CUST-0165,2024-08-21,Water Bottle,Accessories,3,174.01,0,9.06,Canada,Bank Transfer,522.03
1032,CUST-0270,2024-12-12,Wireless Earbuds,Electronics,3,181.71,15,10.46,Nepal,Debit Card,463.36
1033,CUST-0050,2024-09-05,Running Shoes,Footwear,4,185.46,20,4.89,Nepal,PayPal,593.47
1034,CUST-0190,2024-07-05,Water Bottle,Accessories,2,163.37,20,4.47,Australia,Bank Transfer,261.39
1035,CUST-0079,2024-12-30,Duffel Bag,Bags,4,142.9,0,5.16,UK,PayPal,571.6
1036,CUST-0014,2024-07-12,Fitness Tracker,Electronics,5,22.82,10,3.75,USA,Credit Card,102.69
1037,CUST-0085,2024-07-03,Fitness Tracker,Electronics,1,154.91,10,12.26,Australia,Bank Transfer,139.42
1038,CUST-0336,2024-11-06,Yoga Mat,Fitness Gear,2,173.28,0,11.28,Australia,Debit Card,346.56
1039,CUST-0148,2024-10-28,Yoga Mat,Fitness Gear,1,249.0,10,,Canada,Credit Card,224.1
1040,CUST-0265,2024-09-05,Wireless Earbuds,Electronics,1,113.39,0,7.69,India,PayPal,113.39
1041,CUST-0383,2024-10-23,Yoga Mat,Fitness Gear,5,43.29,15,1.79,Germany,Credit Card,183.98
1042,CUST-0228,2024-02-17,Yoga Mat,Fitness Gear,3,103.08,0,1.62,UK,Debit Card,309.24
1043,CUST-0113,2024-04-24,Yoga Mat,Fitness Gear,2,79.51,0,10.13,UK,Credit Card,159.02
1044,CUST-0354,2024-04-27,Resistance Bands,Fitness Gear,2,218.52,0,14.83,UK,PayPal,437.04
1045,CUST-0370,2024-12-09,Resistance Bands,Fitness Gear,2,141.52,15,,Australia,PayPal,240.58
1046,CUST-0184,2024-11-07,Fitness Tracker,Electronics,1,16.64,5,5.06,Canada,PayPal,15.81
1047,CUST-0384,2024-07-11,Duffel Bag,Bags,1,238.58,0,,Canada,PayPal,238.58
1048,CUST-0022,2024-09-24,Resistance Bands,Fitness Gear,1,83.47,0,12.12,Canada,Credit Card,83.47
1049,CUST-0247,2024-03-30,Yoga Mat,Fitness Gear,2,212.4,15,4.72,Nepal,Credit Card,361.08
1050,CUST-0291,2024-12-03,Resistance Bands,Fitness Gear,3,164.2,0,0.64,Australia,Credit Card,492.6
1051,CUST-0277,2024-09-22,Fitness Tracker,Electronics,5,55.39,0,2.53,Australia,PayPal,276.95
1052,CUST-0192,2024-01-25,Duffel Bag,Bags,2,135.27,0,12.29,Nepal,Debit Card,270.54
1053,CUST-0302,2024-11-01,Backpack,Bags,5,81.78,20,11.32,Nepal,Bank Transfer,327.12
1054,CUST-0140,2024-02-16,Water Bottle,Accessories,2,54.38,10,11.09,Germany,Credit Card,97.88
1055,CUST-0390,2024-12-02,Fitness Tracker,Electronics,5,109.35,0,0.6,UK,Credit Card,546.75
1056,CUST-0036,2024-10-23,Resistance Bands,Fitness Gear,4,242.86,0,5.88,USA,Credit Card,971.44
1057,CUST-0087,2024-07-24,Wireless Earbuds,Electronics,2,194.43,0,7.17,Australia,PayPal,388.86
1058,CUST-0151,2024-04-23,Water Bottle,Accessories,3,60.12,0,12.39,Nepal,PayPal,180.36
1059,CUST-0224,2024-02-20,Water Bottle,Accessories,1,93.68,15,9.29,UK,PayPal,79.63
1060,CUST-0097,2024-11-03,Fitness Tracker,Electronics,4,144.71,5,3.56,UK,Debit Card,549.9
1061,CUST-0015,2024-09-14,Duffel Bag,Bags,4,156.22,0,10.69,India,Debit Card,624.88
1062,CUST-0199,2024-09-17,Yoga Mat,Fitness Gear,2,57.34,5,2.99,Germany,PayPal,108.95
1063,CUST-0117,2024-04-02,Duffel Bag,Bags,2,89.28,0,1.21,India,Bank Transfer,178.56
1064,CUST-0352,2024-05-13,Running Shoes,Footwear,1,69.43,0,1.85,USA,Bank Transfer,69.43
1065,CUST-0203,2024-05-05,Running Shoes,Footwear,1,53.0,15,6.66,Australia,Bank Transfer,45.05
1066,CUST-0212,2024-01-21,Yoga Mat,Fitness Gear,5,221.0,0,4.92,USA,PayPal,1105.0
