date,product,category,region,quantity,unit_price,revenue,quarter
2024-01-01,Gadget Y,Gadgets,West,29,44.85,1300.65,Q1
2024-01-01,Gizmo Pro,Gizmos,East,21,39.64,832.44,Q1
2024-01-01,Gadget X,Gadgets,West,11,174.57,1920.27,Q1
2024-01-02,Gadget X,Gadgets,West,22,20.72,455.84,Q1
2024-01-02,Gadget Y,Gadgets,West,30,50.34,1510.2,Q1
2024-01-02,Gadget Y,Gadgets,South,21,127.32,2673.72,Q1
2024-01-02,Gizmo Lite,Gizmos,East,44,14.38,632.72,Q1
2024-01-03,Widget B,Widgets,East,28,195.01,5460.28,Q1
2024-01-03,Gizmo Lite,Gizmos,West,47,127.49,5992.03,Q1
2024-01-03,Gadget Y,Gadgets,East,3,173.39,520.17,Q1
2024-01-04,Widget A,Widgets,North,39,12.52,488.28,Q1
2024-01-05,Gizmo Lite,Gizmos,South,9,13.03,117.27,Q1
2024-01-05,Gadget Y,Gadgets,East,28,93.63,2621.64,Q1
2024-01-05,Gadget Y,Gadgets,South,8,16.53,132.24,Q1
2024-01-05,Widget A,Widgets,West,36,44.62,1606.32,Q1
2024-01-06,Gizmo Lite,Gizmos,West,6,49.51,297.06,Q1
2024-01-06,Gizmo Lite,Gizmos,South,29,194.22,5632.38,Q1
2024-01-07,Widget B,Widgets,South,10,180.02,1800.2,Q1
2024-01-07,Gizmo Lite,Gizmos,South,23,108.96,2506.08,Q1
2024-01-07,Gizmo Pro,Gizmos,East,16,151.99,2431.84,Q1
2024-01-07,Gizmo Pro,Gizmos,West,24,77.78,1866.72,Q1
2024-01-08,Gadget Y,Gadgets,East,45,36.78,1655.1,Q1
2024-01-08,Gizmo Pro,Gizmos,North,1,12.97,12.97,Q1
2024-01-08,Widget A,Widgets,East,44,65.76,2893.44,Q1
2024-01-08,Gadget X,Gadgets,East,17,145.15,2467.55,Q1
2024-01-09,Gadget X,Gadgets,South,5,186.0,930.0,Q1
2024-01-10,Gadget Y,Gadgets,West,7,171.51,1200.57,Q1
2024-01-11,Widget A,Widgets,South,48,80.46,3862.08,Q1
2024-01-11,Gizmo Pro,Gizmos,South,35,122.35,4282.25,Q1
2024-01-12,Gadget X,Gadgets,East,1,82.76,82.76,Q1
2024-01-12,Gizmo Lite,Gizmos,South,3,154.55,463.65,Q1
2024-01-12,Gizmo Lite,Gizmos,East,39,17.68,689.52,Q1
2024-01-13,Widget B,Widgets,East,42,93.47,3925.74,Q1
2024-01-13,Widget A,Widgets,North,32,142.15,4548.8,Q1
2024-01-13,Gizmo Pro,Gizmos,West,15,153.55,2303.25,Q1
2024-01-14,Gadget X,Gadgets,South,22,177.29,3900.38,Q1
2024-01-15,Gizmo Lite,Gizmos,West,6,96.74,580.44,Q1
2024-01-16,Gadget Y,Gadgets,West,30,177.82,5334.6,Q1
2024-01-16,Widget B,Widgets,South,28,77.7,2175.6,Q1
2024-01-16,Widget A,Widgets,South,1,53.31,53.31,Q1
2024-01-16,Widget A,Widgets,East,13,173.54,2256.02,Q1
2024-01-17,Gadget X,Gadgets,North,9,102.12,919.08,Q1
2024-01-17,Gadget X,Gadgets,East,42,74.15,3114.3,Q1
2024-01-18,Gizmo Lite,Gizmos,North,32,108.57,3474.24,Q1
2024-01-18,Gadget Y,Gadgets,South,49,22.33,1094.17,Q1
2024-01-18,Gadget Y,Gadgets,South,12,57.84,694.08,Q1
2024-01-19,Widget A,Widgets,North,37,64.12,2372.44,Q1
2024-01-19,Gadget X,Gadgets,West,49,195.56,9582.44,Q1
2024-01-19,Gizmo Lite,Gizmos,North,23,62.94,1447.62,Q1
2024-01-20,Gadget X,Gadgets,South,2,110.88,221.76,Q1
2024-01-21,Gizmo Lite,Gizmos,East,32,122.61,3923.52,Q1
2024-01-21,Gadget X,Gadgets,West,17,148.36,2522.12,Q1
2024-01-21,Gizmo Pro,Gizmos,East,34,130.37,4432.58,Q1
2024-01-21,Widget A,Widgets,South,9,70.95,638.55,Q1
2024-01-22,Gizmo Pro,Gizmos,East,3,122.27,366.81,Q1
2024-01-22,Gadget Y,Gadgets,East,19,145.12,2757.28,Q1
2024-01-22,Gadget X,Gadgets,West,20,132.58,2651.6,Q1
2024-01-22,Widget A,Widgets,East,33,85.54,2822.82,Q1
2024-01-23,Widget A,Widgets,North,11,74.8,822.8,Q1
2024-01-23,Widget B,Widgets,South,23,112.88,2596.24,Q1
2024-01-24,Gadget Y,Gadgets,North,16,165.27,2644.32,Q1
2024-01-24,Gadget Y,Gadgets,West,49,55.95,2741.55,Q1
2024-01-24,Gizmo Lite,Gizmos,West,12,116.08,1392.96,Q1
2024-01-25,Widget A,Widgets,West,41,76.35,3130.35,Q1
2024-01-25,Gadget X,Gadgets,West,20,178.55,3571.0,Q1
2024-01-25,Widget A,Widgets,North,24,171.68,4120.32,Q1
2024-01-26,Gadget Y,Gadgets,South,38,137.11,5210.18,Q1
2024-01-26,Gadget X,Gadgets,East,48,29.28,1405.44,Q1
2024-01-26,Widget A,Widgets,South,29,63.94,1854.26,Q1
2024-01-26,Widget B,Widgets,West,2,141.46,282.92,Q1
2024-01-27,Widget A,Widgets,North,36,145.31,5231.16,Q1
2024-01-28,Gizmo Pro,Gizmos,West,48,151.83,7287.84,Q1
2024-01-28,Gadget X,Gadgets,West,17,68.53,1165.01,Q1
2024-01-29,Gadget X,Gadgets,South,22,60.39,1328.58,Q1
2024-01-29,Gizmo Lite,Gizmos,East,38,195.99,7447.62,Q1
2024-01-29,Gizmo Lite,Gizmos,South,8,129.92,1039.36,Q1
2024-01-29,Gizmo Pro,Gizmos,East,30,132.57,3977.1,Q1
2024-01-30,Widget A,Widgets,West,5,53.74,268.7,Q1
2024-01-30,Gadget X,Gadgets,North,4,14.62,58.48,Q1
